;customer+OR+user-dialog+OR+dialogue+OR+conversation+OR+feedback+OR+call+OR+interact+OR+information-exchange+OR+information-sharing+OR+information-access+OR+engage;customer+OR+user+OR+forum+OR+connect+OR+network+OR+networking;lease+OR+rent+OR+license+OR+self-serve+OR+self-service;customer+OR+user-cooperate+OR+cooperation+OR+collaboration+OR+partnership;customer+OR+user-suggest+OR+suggestion+OR+input+OR+request+OR+demand;internal-expertise+OR+resource;customer+OR+user-risk-manage+OR+management+OR+control+OR+assess+OR+reduce+OR+reduction+OR+potential+OR+exposure;customer+OR+user-IP+OR+intellectual-property;customer+OR+user-learn+OR+learning;product+OR+process+OR+service-evolution+OR+evolve;customer+OR+user-experience;customer+OR+user-test+OR+trial+OR+beta;integrated-online-services;simulation+OR+simulate+OR+model+OR+modelling+OR+virtual-world+OR+reference-design+OR+reference-flow+OR+demo-application+OR+toolkit+OR+tutorial+OR+sdk+OR+software-development-kit;product+OR+process-modularity+OR+modular+OR+module;customer+OR+user-produce+OR+assemble+OR+manufacture;customer+OR+user-options+OR+choice+OR+choose;design+OR+process-flexibility+OR+flexible+OR+adaptable;customer-partnerships+OR+interaction+OR+relationship+OR+participate+OR+participation+OR+activity+OR+action;cost-reduce+OR+reduction+OR+saving;customer+OR+user-survey+OR+review+OR+voting+OR+vote+OR+rate+OR+rating;trust+OR+honesty+OR+integrity+OR+transparency;customer+OR+user-disclose+OR+inform+OR+disseminate+OR+reveal;customer+OR+user-dashboard+OR+statistics;new+AND+(product+OR+service+OR+process+OR+application+OR+solution+OR+feature+OR+release+OR+version+OR+launch+OR+introduction+OR+introduce+OR+new-product+OR+new-service+OR+new-process+OR+new-solution+OR+product-launch)
http://www.aberdeen-asset.com/;1,00;1,00;0;1,00;1,00;0;3,00;1,00;1,00;0;1,00;1,00;0;0;0;1,00;1,00;0;0;0;2,00;0;1,00;1,00;0
http://www.admiralgroup.co.uk/;0,56;1,44;0,05;1,05;0,42;0;3,51;0,37;0,60;0,35;0,37;0,37;0;1,35;0,09;0,37;0,49;0,05;0,33;0,09;1,05;0,53;0,40;0,37;0,23
http://www.aggreko.com/;0,07;0,07;0,14;0,10;2,07;0;2,03;0;0;0,14;0;0;0;0,03;0,07;0;0;0,31;0,07;0;0;0;0,07;0;0,14
http://www.amec.com/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://www.angloamerican.com/;0,21;0,54;0,02;0,25;0,30;0,07;2,21;0,08;0,10;0,36;0,04;0,04;0;0,07;0,09;0,05;0,11;0,10;0,20;0,10;4,28;0,34;0,05;0,07;0,06
http://www.antofagasta.co.uk/home.html;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://arm.com/;1,76;6,08;0,33;2,79;1,78;0,03;14,49;1,55;6,32;5,25;1,48;1,47;0;0,22;2,78;1,54;1,72;17,01;0,29;0,15;2,68;0,56;1,46;1,45;0,16
http://www.abf.co.uk/;0,13;0,23;0,04;0,13;0,13;0;2,02;0,09;0,09;0,23;0,09;0,08;0;0,15;0,17;0,13;0,11;0,92;0,04;0,15;0,49;0,11;0,09;0,08;0,06
http://www.astrazeneca.com/Home;0,59;1,50;0,05;0,74;0,24;0,03;5,24;0,15;0,26;6,62;0,02;0,74;0;0,20;6,27;0,02;0,08;0,39;0,89;0,18;2,35;1,45;0,09;0,05;0,12
http://www.aviva.com/;8,66;9,47;0,03;8,59;8,43;0,01;14,53;8,37;8,41;0,43;8,33;8,33;0;0,12;0,18;8,34;8,51;0,17;0,45;0,20;10,03;0,35;8,33;8,35;0,18
http://www.babcockinternational.com/;0,29;3,23;0,03;0,31;0,20;0;11,03;0,31;0,14;0,66;0,14;0,17;0;1,11;0,06;0,17;0,11;1,17;0,29;0,09;0,34;1,29;0,14;0,11;0,03
http://www.baesystems.com/;0;0;0;0;0;1,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://group.barclays.com/;0,78;1,84;0,03;0,49;0,38;0,01;8,17;0,34;0,31;0,36;0,26;0,26;0;0,05;0,06;0,26;0,52;0,30;0,55;0,08;2,19;0,27;0,30;0,26;0,08
http://www.bg-group.com/;0,01;1,00;0;1,26;0,76;3,19;0,15;0,00;0,00;6,11;0,00;0,00;0;0;3,99;0,00;2,00;0;1,02;0,01;1,00;4,25;0,00;0,00;0,23
http://www.bhpbilliton.com/;0,40;1,21;0,20;0,40;1,26;0,46;6,44;0,10;0,09;0,48;0,04;0,06;0;0,30;0,15;0,04;0,12;0,24;0,39;0,26;1,82;2,77;0,07;0,05;0,04
http://www.bat.com/;0,66;0,82;0,03;2,03;0,42;0;2,13;0,16;0,34;1,16;0,08;0,08;0;0,05;0,84;0,13;0,55;0,08;1,03;0,68;0,66;0,34;0,11;0,37;0,66
